,DISTRICT,tot,NHwhite,NHblack,hispanic,totVAP,WVAP,BVAP,HVAP,G16PREDCli,G16PRELJoh,G16PRERTru,G16USSDBar,G16USSLBuc,G16USSRIsa,G16PSCLHos,G16PSCREch,G18DATG,G18DCmAg,G18DCmIns,G18DCmLab,G18DGOV,G18DLTG,G18DPbSrv,G18DSOS,G18DSchSpr,G18DStSen,G18LCmIns,G18LGOV,G18LPbSrv,G18LSOS,G18RATG,G18RCmAg,G18RCmIns,G18RCmLab,G18RGOV,G18RLTG,G18RPbSrv,G18RSOS,G18RSchSpr,G18RStSen,G20PRERTRU,G20PREDBID,G20PRELJOR,C20PRERTRU,C20PREDBID,C20PRELJOR,G20USSRPER,G20USSDOSS,G20USSLHAZ,S20USSRLOE,S20USSRCOL,S20USSRGRA,S20USSRJAC,S20USSRTAY,S20USSRJOH,S20USSDWAR,S20USSDJAC,S20USSDLIE,S20USSDJOH,S20USSDJAM,S20USSDSLA,S20USSDWIN,S20USSDTAR,S20USSLSLO,S20USSGFOR,S20USSIBUC,S20USSIBAR,S20USSISTO,S20USSIGRE,G20PSCRSHA,G20PSCDBRY,G20PSCLMEL,G20PSCRMCD,G20PSCDBLA,G20PSCLWIL
0,001,691973.9664097467,419870.96642448055,204945.00011026897,39766.9998415634,518742.97110663366,330394.971107119,145494.0000874353,25655.99989318336,110625.08346669318,7427.607955705085,152884.51201463846,92434.13810608462,9963.646720873396,151761.1987610916,65328.44843487226,170621.99478995643,106499.26323639521,102565.4178130895,102301.73157913207,104080.37147949477,108464.30964006294,103065.85965805227,207010.92293555863,111544.01647042645,103751.23414985207,96770.99849869784,6009.023546473635,2292.766905002886,12151.86092483492,5107.7604161821055,142872.93901634117,145474.53981641037,141175.50486931586,144833.75631166445,143907.75633512338,140220.93911751494,279267.9728394046,134475.7320033219,145995.93159687117,135698.23650516017,184838.93934163463,143360.7502853495,4484.727787135243,184868.93934163463,143322.36203513987,4485.727787135243,182505.34746729018,138109.77083168388,7947.2275700871205,90439.82547295012,71377.4490217793,5310.889584945821,4053.6640500672534,4651.772597109971,4168.626255194745,87670.83434940927,21251.86555599288,9072.809457798825,7164.901234789222,5875.681418021478,3027.616156051445,1462.0611571259844,1214.146851510399,2589.779559162964,1065.0491455165936,1540.2961357373997,1228.0674899680303,897.361420885799,1030.8473653896654,181194.02621406928,130338.82341521612,11878.065245208232,178418.04211024518,131099.33353482257,10174.821156056396
1,002,691974.3244330824,289176.5464039313,352381.8763432574,31576.939171311587,516390.8902337762,232677.03985147265,250954.92997471135,20823.961250176795,136570.17681933765,4287.806114309906,107312.01036450114,116624.36565380878,5925.817909432406,108477.22282525939,80261.18026665157,126410.7173106451,126754.54970919923,122529.46776832016,123858.26045918542,124445.11626310759,130113.1346694276,119868.9780092232,249478.3164812071,127994.96487483193,124231.8995234955,114507.90074561721,3752.728554556617,1131.314011587369,7081.635812278481,3066.6294235770297,100333.94114232993,103422.82368311532,99346.29383327173,102520.18711567289,101609.82873884437,98609.62554642156,197558.87703890746,97004.98208849179,103284.64252138893,73825.0863175837,121860.64021905056,155931.83968362003,2383.22172378598,121865.06582841901,155824.87318689306,2379.9177768336854,121695.48281774715,150087.53836825016,4950.516234498592,59250.261844139204,52080.32688129267,2535.082664949469,1947.8169000074815,1811.7778223766497,1731.8023284820551,102619.36779321659,22174.301995503476,6655.7320815760095,6693.475778414743,6325.353580685002,2624.538869198796,2331.653807121834,1495.6839777824289,1186.4720000300667,580.37756689816,920.4779393399197,924.859400448137,531.7117956043542,738.4995101131175,119291.17663518057,145493.4984501569,7085.143592131329,117534.3842412785,146017.26347674135,5828.674087705376
2,003,692032.1154255886,473735.8673205326,157943.49227764405,34909.80096370978,511562.1679352368,363077.39312677085,111342.4236451142,22243.17271467386,101805.76019768657,9075.169392599397,200767.6117045614,86618.49473599943,12496.281212773914,197504.52863994922,68221.48847266485,212906.09943889498,103798.8213924924,97545.1730943977,98096.4852999663,98807.93820622274,103532.5871536469,98606.11333800365,198417.37790541214,101858.34694371594,97698.91774450331,67084.74194728644,7244.210762223737,2950.6677995981845,14580.278669171179,5993.120257477075,188280.61154744469,192991.6932542349,187091.14733091136,192676.54758015953,191087.10650653017,187302.2044584409,370764.58395238203,185664.67410090973,194630.35213802787,189099.91911370988,235668.7911587701,139962.3106467194,4662.397295520198,235748.80551077216,140014.04568940788,4665.701242508853,234549.83194907,133917.90825130543,8513.768874039723,127167.47836811279,90721.90243360933,4287.669588575815,3516.119014082449,2982.2303354879296,2860.8084403211224,94457.66731976149,17602.394040325544,7745.189651522652,5656.031318525217,5137.268728165093,2474.5605837287635,1641.1741423690219,894.0606149749436,2782.740236895757,985.6587200026223,1213.6718074432329,1005.4371672886415,843.6878238041676,824.5773217050212,232893.01301338532,126243.181864198,13063.855933210956,230297.06409706888,127455.73445683297,11022.420830789
3,004,691974.0019519948,189433.58763109866,392246.83610211115,64604.47140778227,503502.17647369276,155922.17128711214,275260.6891418702,41040.174778968314,224676.61571279078,7291.742477798983,65998.68254115287,200541.38992726718,9936.936632628913,74415.02246323208,144367.8134034319,102024.21256809286,227603.43525631248,222342.18783252515,223305.16920350218,224732.18024385136,233549.7654486906,221710.97801590097,448702.9222288571,226094.95424382924,224160.37234395163,237375.35265471105,6903.92340279734,1973.2278808601802,12676.037011843626,6426.868782630286,61015.105954810424,64876.896598596286,58501.4998923783,63200.530336529584,58588.88579742629,59182.61568926716,116140.2601957762,57502.89651348233,64681.06267808611,28776.439740617825,71789.18748952748,281205.2093974042,3572.7985016519433,71802.85087723729,281163.39984651667,3573.798460681947,70693.61821694898,275143.1798243955,7492.406028115305,38399.39392815688,24193.85506386629,1983.3479781601873,1863.557141403252,1140.4911454392536,1353.4181322835875,197626.0522822248,36225.97335190206,10173.723288523395,12463.488337071798,10744.554457387643,4693.4594065548,2898.7555547888346,1511.2553454650722,1686.4290849543934,1004.5289415514155,1114.2273172784562,1027.4555148388072,1004.3078655501165,820.8562091436071,70609.06657861099,267551.2913897531,12178.265641765232,69592.97529298594,268545.06937490695,9367.137355323232
4,005,692054.2467511648,193758.21618648234,404785.80317240645,54615.766712903525,541971.1522916324,170260.91194751722,303259.34319744504,37212.39699534701,258578.14130031,9554.733071664505,36350.723861478924,221527.6939108602,12065.872281496264,58169.948108044504,158349.41344213308,90345.10698476859,256437.51863118424,248190.18577695033,250266.43630937964,252258.4874974665,268260.6700604795,253296.71782215263,502829.331062289,255350.65903982875,250170.63021945016,266594.16335224034,9017.967042263364,2443.001401773885,16279.796224579686,8724.882105111283,41834.357839869626,47893.93214969221,38193.19204395349,43918.32448107595,34559.06276403609,38535.10034817033,75543.62141382326,35649.104886063746,46921.783622125695,11224.072995532939,45865.218124774925,313581.45241746714,4154.252377851405,45919.475506577655,313420.9496272947,4176.233386398028,49562.84631660744,303161.0273536796,7764.523391175905,27339.26089453776,15613.546300376604,1172.2223500222713,1565.3773984332245,875.3543356245086,819.1444240575761,229337.26237222974,31242.91199149195,12829.044654755697,10693.333083623462,10394.607758819822,5056.542402274326,2701.9542006748147,1695.5179205689133,2131.081069263675,1475.3135207167961,1180.3430321439812,1017.5312338733936,1689.3931690093575,754.4325386935992,50817.313919353095,289932.6713905327,14009.133047262187,50046.868087226445,291773.8826114334,10879.240911303397
5,006,691768.6890154026,433762.1405652681,83612.1586603787,92397.59137783496,518894.1080592865,337262.53387122793,62361.98582702992,62245.8766548828,155462.05814857368,16181.053965534724,160236.06927990488,120223.79913392485,16562.23632912809,188097.67223265526,93004.82434978227,207918.43734127795,156453.703766284,147748.2466999138,149274.55300512153,149238.96344538644,163337.77209361145,156227.03634558155,301049.9593784598,155763.8627586674,146165.46931485407,157340.13348590746,11526.825387625304,4877.3823549093495,22412.011153367417,9979.101187654242,158830.64229706774,164761.191314808,152970.91601848227,162807.71190363067,152040.87488261465,155673.27284873324,302929.81838049844,150961.7114771551,167389.9568943792,152336.74294919317,175447.09071825343,221192.09204422112,6203.660046815828,175361.56919849836,220179.96000380258,6228.65802757363,185629.29773495524,205557.44862181743,9143.403641743158,107185.73872452995,62930.91727758818,2964.091547807332,3380.25640796892,2117.9308812313875,2186.842258772884,143867.56362781138,24116.24180053635,16710.22091303069,7310.947228087315,5957.575482418788,3641.2619246358513,2181.6557857029193,1645.7253919111608,3729.3417401843412,1619.4576709007786,1662.810835614675,1163.5021984976177,1089.5789812576998,1117.5641020659511,186419.1323589228,189074.25570081416,17510.934503495817,184369.46381299404,191092.19780347604,15115.60807751844
6,007,692132.9753372592,345452.33460010623,120764.76353822465,129938.75332425738,489976.17069631146,260347.61783407556,81235.5473052799,82116.87764973825,131474.34726571027,12000.316905330932,149657.03065906436,109175.11639385983,14417.975468691755,157346.71967592346,87046.4969116424,175414.59211719153,137984.67921288442,132709.3763597447,132863.08791762617,134151.26385229145,141386.47358181077,135172.62242056808,267598.53884576657,136282.7173183629,132183.753242455,139895.52442543907,9147.364773339583,3715.478650327994,17999.850625257466,7906.176711117918,139352.27171247377,143222.89651964835,135300.76232240655,142154.91406189307,136528.47787046692,137208.24898919437,268156.37975250825,134624.60047885976,145232.71969386152,129886.2944465194,172317.4563124935,197895.94396187924,5333.042749294838,172285.54033803858,198010.9149400303,5337.044864862862,173462.41585021446,189491.96481103447,9927.617500015427,92187.81477034032,62048.13619914472,4744.847922106521,4289.057459372149,2408.023728284995,3402.3143355020734,114151.30443170425,29794.562908242802,14920.594517378691,12373.910063869876,7647.607241674261,3878.3764888542637,2695.08418787637,1514.9976608491347,3127.0221924401967,1477.2298094107568,1500.132305255105,1301.9654299780468,1074.27927377528,1231.9015733793167,172780.58051176975,178065.33056025926,15738.628870484015,171420.28881940592,179913.5283157937,13308.561548754591
7,008,691978.1679140199,428139.89103285706,203381.17605570803,39578.05648675314,518241.525022429,335030.3320381321,144893.12003022357,25129.030993486103,90785.04076690688,5920.291069235658,167481.2457909266,76509.19745235518,7887.752176597838,163818.48953010945,53737.556685700816,177697.8511786808,88743.86948582136,84243.89792493836,85519.11162141805,86126.00570662075,90037.02275070557,84575.32568763093,172951.08753741643,91030.71048304847,85026.78660095164,11730.118566279196,4730.818886844467,1716.8607144198907,9425.311451339468,3745.034781459619,161345.89079160863,165354.24802586602,159958.5429434137,163641.17527955305,164187.4269826109,158686.30390359776,317660.47288044525,156632.68802406706,165655.7733146352,182406.68014375668,194929.5890246717,116342.72306292252,3321.5808028605284,194913.5890246717,116313.72306292252,3326.5808028605284,193852.61100469498,110866.26658824891,6394.081204571761,100458.46991645981,77652.85197877308,4167.415432479949,2842.993483857933,3505.935946945878,2812.777670378602,69009.60277742606,18468.073210190018,6672.016808170864,5890.49286007435,5757.475610172568,2332.2780532234838,1630.983168320928,1289.7452658759855,1814.3212034599935,731.2860026738194,1114.665594594015,945.4328221645911,528.5139701551617,833.8676654561924,192830.75372127796,104954.42119257731,8849.977803935008,189177.97409590136,106518.12327771926,7475.862288492705
8,009,691972.8274953305,549607.5757492423,45078.38248139544,79411.99619262933,520854.2341836785,430387.39248494763,32808.53221543845,46596.46753929448,57923.253477093655,8663.23589659098,232212.3856733122,50081.97258022042,13906.726906922071,220827.01777940325,45641.652040305315,230775.60900383623,59910.25268826625,54302.999505492546,55290.46143640166,56120.74559819306,58060.92529813886,56765.352560474195,113083.10836798121,59220.67963317714,55507.969902654484,13523.75547021271,7449.035012013161,3051.7512821221057,15788.858697829339,5736.783193085227,222680.52367059636,227545.97209909005,220274.9305589238,225802.6568947301,227205.94020202637,221466.97494072508,435720.3809536223,219103.46073498216,227450.15192633469,242509.87927574106,294708.6981798975,86584.72417138907,4870.940751431499,294744.6980560838,86600.07938745312,4870.940751431499,291671.00446779124,81301.01809111137,9662.737932104235,105308.85070174812,172387.46568804403,4502.696589109093,3589.381500819224,2896.427089537069,3091.5734225224273,52040.303695357536,11756.831814787362,7384.730557719204,3333.375064992298,2765.4891668630307,1763.4362209250976,1162.3880010597304,751.1250158080496,3026.465557505424,1002.2020771851045,1180.0240115612648,871.2754313395636,722.7877709264988,855.5082300612171,287485.6252471043,74932.99579786169,13725.418499125215,285050.41789723234,75526.09429916977,12599.143415512142
9,010,691973.6061570172,462712.45784391346,170976.0699790352,32588.999847349016,521343.0601213596,361121.2076280163,122899.9050732664,20667.810370693423,113158.76512215505,9370.68205417016,193097.66657643497,96148.56689335004,12118.057448316158,192483.3238207466,68686.69264046484,208126.8662903533,114357.63868994842,107906.9665923407,109659.62186851035,110646.52113988926,116532.72100486729,110651.8306204464,221910.9772275072,117654.23885050355,109947.50218737544,77879.56578954036,7744.685506085335,2695.0801322471884,15175.45736074689,5980.951411440769,187887.7606661415,193214.7483652751,184935.95454356086,190739.1320705202,189457.77407282923,185448.74190879977,366893.59709525795,180714.87456886793,192512.56045012624,198100.90970987934,231433.1470593519,152120.3842726919,4840.152526661417,231436.63659402155,152164.80318049056,4844.150451790811,231363.62879163102,145342.52777648185,8720.337336266535,128998.55520598529,86298.82841463266,4109.484104847781,3306.033769799426,2801.869581432969,2969.939723792683,98771.12458020872,20490.7075141942,7994.801908607031,6858.705959117453,5318.023826895778,2415.1844357479804,2360.2297934824196,1752.1459832103094,2836.4236951134167,1039.290258591482,1209.0337750190588,934.4956432648409,814.0009744594196,911.012953254366,229055.5830605257,137785.72804172023,12966.657657424674,227203.5782263092,138498.3287053563,11259.51256049017
