,DISTRICT,tot,NHwhite,NHblack,hispanic,totVAP,WVAP,BVAP,HVAP,G16PREDCli,G16PRELJoh,G16PRERTru,G16USSDBar,G16USSLBuc,G16USSRIsa,G16PSCLHos,G16PSCREch,G18DATG,G18DCmAg,G18DCmIns,G18DCmLab,G18DGOV,G18DLTG,G18DPbSrv,G18DSOS,G18DSchSpr,G18DStSen,G18LCmIns,G18LGOV,G18LPbSrv,G18LSOS,G18RATG,G18RCmAg,G18RCmIns,G18RCmLab,G18RGOV,G18RLTG,G18RPbSrv,G18RSOS,G18RSchSpr,G18RStSen,G20PRERTRU,G20PREDBID,G20PRELJOR,C20PRERTRU,C20PREDBID,C20PRELJOR,G20USSRPER,G20USSDOSS,G20USSLHAZ,S20USSRLOE,S20USSRCOL,S20USSRGRA,S20USSRJAC,S20USSRTAY,S20USSRJOH,S20USSDWAR,S20USSDJAC,S20USSDLIE,S20USSDJOH,S20USSDJAM,S20USSDSLA,S20USSDWIN,S20USSDTAR,S20USSLSLO,S20USSGFOR,S20USSIBUC,S20USSIBAR,S20USSISTO,S20USSIGRE,G20PSCRSHA,G20PSCDBRY,G20PSCLMEL,G20PSCRMCD,G20PSCDBLA,G20PSCLWIL
0,001,53612.30686308217,49975.19117927239,1524.090727235908,908.008974018211,41298.2105558519,38907.13356147653,1109.0633328275158,539.0064281963511,3664.6967044197268,720.2775295321237,15990.358655255308,3230.095354379398,1029.6802017972889,14384.108667658631,3270.008579894912,15335.389301473411,3437.8543355383426,3263.547222408091,3279.2940133562606,3401.7197938920294,3378.9348599110126,3355.0216522971577,6593.085794221958,3375.495259844476,3304.136150532756,0.0,519.2359974950234,217.6513607378566,1044.3764526109119,415.8769096607521,14068.343009214941,14242.745475974489,13750.62918898853,14083.97970014506,14393.368332708063,13731.886841574964,27396.812726498687,13806.38024327001,14306.357798979076,15295.870234298096,19216.802721238077,4990.744459544164,355.2319005091282,19216.802721238077,4990.744459544164,355.2319005091282,18768.874431076118,4738.692041844331,742.5644690845477,10184.482148770214,6365.956711348545,667.0971657139479,494.5591415281181,473.15782236943653,431.3386212712577,1817.8290230577043,891.4165658469705,831.8072777483412,237.9331456207913,225.26421606184533,156.33063535740882,124.20148116046434,120.77536026531205,254.910422130213,90.47897367863108,119.48856574076991,98.29284722038031,64.66539019264529,168.01491961856843,18453.94172053897,4309.091862868647,917.6552550329367,18127.429669154255,4361.217622727172,930.0148116046438
1,002,53909.658849739215,49125.7722626362,1911.909192315645,1771.9910524459594,40652.741729671834,37528.81786449219,1495.9366140337988,1028.9935895394726,2986.3032955802696,567.7224704678758,15540.641344744674,2725.9046456205983,856.3197982027103,13924.891332341353,2822.991420105084,14778.610698526572,2829.135209474796,2619.4456674339376,2686.6980236381314,2729.2721770501375,2693.058623377055,2728.968065413056,5370.895461697684,2793.496218006616,2661.854796161877,724.0006773121399,434.76059098238034,190.34699449181497,876.61478219365,366.1195524206645,14102.5324069882,14301.128782673337,13813.246935049938,14170.894425220777,14431.50221640928,13736.995438229982,27637.94561811353,13847.497678354634,14327.517225263211,14772.01039637296,19069.19727876192,4109.255540455834,316.7680994908718,19068.19727876192,4110.255540455834,316.7680994908718,18601.125568923882,3944.3079581556685,666.4355309154523,9862.517851229784,6611.043288651455,596.9028342860519,454.4408584718818,500.8421776305633,421.66137872874225,1565.170976942295,728.5834341530293,630.1927222516586,201.0668543792086,211.73578393815455,126.66936464259109,83.79851883953562,114.22463973468793,215.08957786978698,85.52102632136891,112.51143425923003,78.70715277961966,46.33460980735469,163.98508038143154,18413.05827946103,3511.9081371313523,816.3447449670632,18028.570330845745,3621.7823772728266,820.985188395356
2,003,53365.91676428972,49177.91905400572,1203.0000031079799,1231.0000011317184,40239.929783693675,37631.930660432154,817.0000018696378,739.0000006344245,4099.000000000002,751.0000000000005,17137.00000000001,3530.000000000002,1083.0000000000007,15532.00000000001,3446.000000000002,16903.00000000001,3935.9797666155296,3758.980431531915,3836.979933879461,3879.9800057708007,3961.9796420764415,3917.980021339779,7595.960671569644,3956.979186854997,3784.9805728134343,5.272056089e-06,538.9969200261415,237.99873427332201,1067.9939800990333,416.9979384690152,15313.906159766275,15446.905551253614,14886.90884271706,15330.906127402297,15395.905640706813,14958.907389327496,29827.817177030927,14931.908131128945,15507.905239457412,16693.899277532066,20586.00000000002,5980.0000000000055,411.00000000000034,20586.00000000002,5980.0000000000055,411.00000000000034,20082.00000000002,5684.0000000000055,844.0000000000007,11107.000000000011,6707.000000000006,690.0000000000006,620.0000000000006,487.00000000000045,469.0000000000004,2029.000000000002,1268.0000000000011,981.0000000000009,312.0000000000003,294.0000000000002,185.0000000000002,115.00000000000009,146.00000000000014,299.0000000000003,98.00000000000009,102.00000000000009,93.00000000000006,76.00000000000007,172.00000000000014,19939.00000000002,5149.000000000005,1061.000000000001,19604.00000000002,5284.000000000005,968.0000000000009
3,004,54125.15481721739,28139.358584497346,2379.99973534734,22063.603906532513,38393.6389506919,22681.082712621104,1878.9997697618535,12869.363586498695,4409.66478329858,436.3131680530658,8381.086733511356,3683.6844019607115,612.0228983709501,7790.516823405394,3057.4472785699472,8613.431789339233,4024.286447858148,3855.758766580355,3810.9073299743154,3924.7506128229106,4161.716294322775,3865.1582935269657,7704.223369715329,4016.8569177943086,3848.4783647452145,3893.759197364098,355.51263402058146,107.97478104540511,623.5948074057052,280.2388302105072,7491.88976756757,7636.277060022264,7362.897769022383,7598.444234847029,7604.738088587301,7322.89734453706,14770.688376442293,7347.9327178298045,7718.128733786231,7736.848724076351,9914.939563749977,5882.399051841822,213.5273930728803,9916.939563749977,5882.399051841822,213.5273930728803,9764.63866480959,5583.452198133174,445.21586487422394,5019.519253391614,3590.8912774310734,302.23712339076445,266.80703349672586,195.95748296691895,225.39820211922776,2168.4243801989965,1380.399841973637,690.2812802782549,385.66721328480304,319.6778425430733,196.6884718013436,128.8389212715367,81.83892127153669,166.10793243711194,73.2690111655753,83.2690111655753,88.26901116557531,60.70973031788416,88.54865158942087,9589.63866480959,5076.558490715877,696.8937074172973,9343.272350465173,5153.956692835105,601.8937074172973
4,005,53590.604294913515,42440.606121239296,1849.9984877783377,7920.999889910381,38999.06965557386,32077.071382279846,1398.9984843297634,4694.999909179434,3012.9421425417427,461.06711810129906,13826.517925644415,2685.404102802531,697.3592608507025,12782.01251572352,2494.1093716359155,12972.390580865971,3022.762547954143,2725.1759220119993,2740.2172866169826,2808.490419175396,2830.1634151232943,2844.071222920081,5655.618070406001,2963.8049541770256,2716.9553349986204,2901.4388405830096,360.8253638851327,155.50854339933844,711.7410990737386,284.89276068082273,12703.113072161625,12968.796705883773,12633.144427021234,12857.605800156016,13127.381341820646,12636.300150657393,25002.470197288447,12562.105654781994,13015.425790263922,12825.368873867697,17651.7147169678,4113.631310116324,217.33488548905612,17651.7147169678,4113.631310116324,217.33488548905612,17269.43822895043,3948.082314790513,508.9339518924132,8621.980908896556,6924.430721251287,465.87531557623373,323.18606454813846,314.75242919571076,294.72816844979667,2367.242497069552,651.2432251190833,416.9990019437553,193.07261723373074,135.86300847316303,85.60289172130824,68.3726494635316,40.38854304005848,148.89694712968736,66.2575283346433,99.07261723373074,75.51031674860448,36.43578685589816,102.95749610484239,16901.6193981869,3660.8266991148453,625.2028727273962,16561.372347749868,3686.424850915472,645.6859033991341
5,006,53962.844206841255,40062.640423898774,1009.0003431897848,11675.39604796202,38573.3603951087,30618.916609849446,698.0002827038512,6562.636386733116,3704.3519789668107,495.5435047988263,14984.445795547372,3294.8021173496218,790.404780047645,13452.140625517672,3140.5494313932977,14187.225001576482,3337.363823430534,3171.449309304248,3137.810647624483,3211.967283370806,3251.4915645884957,3136.844051407477,6323.986984070272,3331.793432019361,3159.769140513849,3260.282606640426,388.76340072344044,156.44771179428852,742.095267050792,287.7723814493013,13518.807546390215,13666.783599318142,13380.436177098361,13667.430538533057,13936.432778024622,13274.847867534714,26753.82190904393,13374.342083542198,13796.991160672116,13769.290904949707,18313.649832178424,4942.677867330007,239.02323118800004,18320.649832178424,4952.677867330007,241.02323118800004,17865.42081716743,4763.277909836,568.3751929946255,9083.877844607214,6811.242837614116,564.5173139283397,436.27416272288804,336.1440945585174,390.4380894268417,1685.6555000059147,1122.293122424324,673.5750635699612,287.0060278146872,250.68934996540537,160.9032440748571,133.71203199301928,86.46712731947488,180.58568996820077,93.56760938416988,110.87365797518149,102.05741873125868,45.575936967305026,106.04306428677991,17582.48229008857,4258.457942545837,721.5339710012973,17077.52283254351,4391.141265649899,676.0849242658534
6,007,54058.002375936914,49853.00045034906,174.99999828422295,3140.9999865126747,43050.001073552135,40398.00012001606,123.99999828422294,1875.999990154594,4250.999999999998,552.9999999999998,21342.999999999993,3853.9999999999986,1147.9999999999995,19572.999999999993,3735.999999999998,19664.999999999993,4453.811339551073,4004.818797313573,4026.818834174863,4140.818837511676,4107.8158194377775,4180.818889644578,8334.636172025928,4335.817451235445,3923.8233722068926,0.000983809350202,587.9789109549843,240.99249229849013,1152.9670619304388,420.98648851917153,20442.284628360016,20812.280148526315,20341.29521789252,20680.280116590224,21104.27424610288,20280.298314210388,40241.584109933596,20274.28908499641,20993.271056710993,22131.220920396147,27232.000000000004,6007.000000000001,298.0,27232.000000000004,6006.000000000001,298.0,26821.000000000004,5592.0,718.0000000000001,9483.000000000002,16170.000000000002,393.00000000000006,247.00000000000003,198.00000000000003,297.0,3974.0000000000005,613.0000000000001,579.0,139.00000000000006,85.0,101.99999999999999,80.0,50.0,185.00000000000003,71.0,98.00000000000003,62.000000000000014,45.0,56.00000000000001,26197.000000000004,5200.000000000001,966.0,25854.000000000004,5246.000000000001,886.0
7,008,53904.9312226397,50473.932169179156,322.99903578069325,2111.000001770554,43920.93721031844,41655.937841124156,212.99935775905448,1367.0000017705538,4998.999999999994,686.999999999999,23701.999999999964,4612.999999999994,1117.9999999999982,22167.999999999964,3749.9999999999945,22830.999999999964,5234.206272547247,4696.275956273317,4777.278404684473,4811.269543820605,4746.2707607309985,4903.245488942632,9787.515383660357,5158.221296659388,4608.294924989348,0.0,556.9168439193298,293.95199066559866,1288.8035622398754,450.92949946438335,22365.79190694594,22844.71848323524,22305.79502544114,22718.74637085395,23181.69520370564,22361.797956633472,43987.70073065328,22143.832591834842,22995.709382977107,24467.50515412182,29310.99999999998,6931.999999999995,304.9999999999997,29309.99999999998,6930.999999999995,304.9999999999997,28857.99999999998,6451.999999999995,833.9999999999993,9427.999999999993,18321.99999999999,375.9999999999997,292.9999999999998,230.9999999999998,238.9999999999998,4552.999999999996,709.9999999999994,663.9999999999994,172.99999999999986,126.9999999999999,129.99999999999991,89.99999999999994,75.99999999999993,199.9999999999998,75.99999999999994,100.9999999999999,74.99999999999994,55.99999999999996,57.99999999999995,28331.99999999998,6039.999999999995,1030.999999999999,27955.99999999998,6086.999999999995,975.9999999999993
8,009,54289.36854180924,50136.16420703925,446.0106298064075,2405.05575437896,41849.162223384476,39062.00262861101,357.00847460200464,1538.0471619739626,3756.0180986939436,936.6897341037699,20743.25551510663,3270.7822023000317,1534.825620888149,19677.136175645213,3950.3475774343397,19997.926065007985,4055.72624580489,3638.2122240423705,3660.094749877647,3724.286314344567,3910.4420772908834,3854.9789910392633,7559.021329031449,3921.7911515301835,3688.5962467020195,542.1992193755581,779.5222435296597,312.06743877066316,1657.2245208585207,602.4174433274029,19984.06342592195,20336.404369338055,19646.582313892988,20231.72607584256,20250.286297995684,19896.959306535282,38810.02769891226,19648.274858535628,20337.89558670656,21115.50523675599,27271.710875027424,6101.855016865609,488.8290502230276,27271.710875027424,6102.000899943023,488.8290502230276,26862.166580096673,5666.661812440165,1013.3813933141769,10520.04445648766,15059.454970177367,446.39812353784777,326.4439455117041,293.1456878462511,330.22765730433997,3740.4134193987366,669.4824234382369,633.9678775643144,183.6873640196677,154.13482569755047,121.89463504287889,75.01284506744352,47.43691124726912,346.2549613656454,101.54406389079963,109.60323788128483,67.39293423639995,62.42931275746113,89.55962986287005,26614.256748073203,5059.862982416834,1371.8374459071802,26352.659494755437,5136.029078012461,1313.0007399205624
9,010,53427.841167772014,44926.855155440935,1676.0009618681133,5146.986147992399,40719.87890766871,35353.88641789307,1432.0006321015528,2879.992846749349,2792.425711609517,532.0558152042324,15710.870293997312,2491.768883349818,881.9068904781767,14878.340378590152,2442.819320902657,15461.015208144003,2928.812605871943,2518.6970387535375,2631.0178363060927,2663.7147985302922,2725.96210664294,2776.6014287716566,5446.784818190562,2855.684100092821,2576.323543297942,0.0,432.7571855944698,166.04221205188696,938.7662335206718,343.41694935431894,15106.422290889837,15477.57580509274,14963.112177758167,15318.77904789503,15458.135867214214,15030.303351665794,29612.284335743985,14869.481368523275,15451.196481723813,16246.54245577549,19752.602673177433,3991.0713335511027,271.4984201835474,19752.602673177433,3990.0713335511027,271.4984201835474,19484.683952758558,3751.6042294275976,597.7273404762852,6406.783930152882,12316.512373834834,264.36309148703555,220.25923028415372,163.83810971060365,184.0130098641047,2492.040435564872,465.98619428930243,359.2747702829526,132.6467378405093,113.23674717573726,68.32344411265231,62.618810027022676,28.50509114414716,184.48040706008055,47.658694962864914,65.57769762003218,41.21546537967651,37.00236903692321,45.05452225389152,19188.437857584082,3410.302467417598,830.8290328260412,19070.423015419015,3451.7262792640136,772.812884810654
10,011,53608.387587074714,48759.38933688421,513.9999260890804,3485.0000901093917,40792.92541451271,37904.92627657411,375.9999295376547,1979.0000775719816,2971.041095192866,534.076209046809,17736.94954529686,2698.1093778871364,998.2130607307026,16379.330035353416,2982.8939184008404,16482.952628218318,3053.5841848084756,2697.613220449832,2732.0619492360015,2778.788866152588,2793.625841123188,2874.9235645332087,5631.165923444094,2972.541689178712,2699.7943996403696,1498.5178072341955,517.8982397247636,181.06880415880505,1028.5680684235515,339.0957561630307,16563.177815149684,16872.130694824067,16406.50993220505,16758.50752881305,17086.43567512143,16436.942904476142,32485.996364973435,16436.60789569597,16937.442284404577,17210.479183314445,21713.695887103793,4107.291770711845,320.1144902500635,21748.695887103793,4122.291770711845,320.1144902500635,21262.502289072545,3958.187577240312,647.4749902387372,9790.621993104613,10013.435163703522,445.37024710466187,305.7327392322475,287.14599327885264,255.43554000413368,2691.677622725536,458.0638104829552,365.1446542080283,128.25414166677885,92.76979901835816,89.80539240249095,62.076397271912384,41.30540836892991,190.40943046499987,62.905851115611526,91.78471362551247,62.16325335456156,33.27854585891265,83.45078801895679,20818.25964691493,3561.156867623439,853.369448854009,20470.832469241443,3609.477190599523,830.3354649177151
11,012,54332.52481145379,45025.60169097294,4797.002761448776,3021.4681752967927,41808.504147958774,35362.576296971776,3772.001776003963,1792.4738694931086,3470.4812601052595,455.8909709938726,13871.394093518096,3310.0508229518696,655.7325382787117,12799.218341100917,2698.6749003015434,13696.9457685856,3201.045790674946,2894.8211645677507,3008.626630738588,3031.8278208666666,2979.6648290258727,3053.643453437811,6117.650664516655,3235.649542532776,2943.2239059151575,1675.3874576072346,352.8416441434543,131.4163065468422,660.6748037254415,266.0364898186422,12030.421064425354,12303.238865708272,11883.401186888781,12210.63859439611,12503.420874106587,11941.00190885361,23728.807856196807,11813.787585297241,12358.444922112263,12890.45295585219,17175.502554447132,4284.512776035186,255.57666096056545,17084.80210017544,4256.812321763492,255.36626913935572,16710.71294626834,4218.587165637281,574.3290743383083,8548.679443018485,6427.637705500497,378.31431003330715,281.33162973532336,406.52470185451693,288.87620668887143,2757.100226660902,524.1828505311329,462.3463940403244,173.64593976863023,166.38358884137185,91.71777397371027,65.84156728483893,37.24503122524216,148.47274274846816,65.4554230464519,89.26235092725838,80.2623509272584,47.438103344435675,120.63117546362928,16432.78478047342,3877.9585455706674,693.2918795372606,16171.32935742697,3938.555081630264,636.9948892059699
12,013,53422.96916517242,34220.954156159016,10808.32802277369,6710.363072504047,40132.01712826369,27388.416554240954,7752.801071875624,4029.3438601482285,6262.109316129741,644.1738512386157,11629.889155378723,5167.345286585667,733.0345642972364,11725.459860801173,3781.0945745761887,12890.787647867333,5815.3771898708665,5493.369487691571,5563.064392644163,5547.137740283053,5930.397453501775,5640.286792916929,11126.334383315274,5784.90903489671,5463.558232636505,5427.852787618164,464.58443919899383,203.05881356455083,849.6477481859052,394.8570327622536,10266.732552574395,10491.035921724828,10046.623324713733,10508.497408015004,10316.109688809303,10116.477822893641,20136.56819882988,9991.306084448686,10649.499713340381,10728.678805497591,13772.0075722634,8260.895313485782,327.64182494101647,13668.856886363363,8198.781842542814,327.85221676222613,13700.169330012865,7833.458381994659,621.4380282376401,7345.40094726874,5235.39227407671,252.01582073947742,257.333435651069,246.99150370360536,152.90050356872345,5548.914125624314,921.2817285474517,579.0161478487043,328.0143217769386,281.3138876612645,125.83564654147938,89.8234981015533,40.5688939894202,197.89460298138385,83.395717125278,90.43992941620138,65.58878924447151,52.37582187022667,73.21996470810069,13641.315981709366,7236.287488369081,848.8425687685398,13487.957479541157,7307.393232652944,733.734998412911
13,014,53537.46256521146,46359.845105777626,3392.0177368965165,2658.3349359158337,39450.62930049745,34800.77084758983,2462.472819043239,1530.2602414191317,3807.8399809306397,605.8491216633226,17403.557878255884,3459.7728643888972,1002.5804865842802,16273.816764293279,3463.282001151669,16853.79619888053,3997.9373990901377,3639.432568834476,3635.636107858253,3711.266866753906,3765.196989318592,3856.854052061709,7474.107952664113,3905.5204558242713,3627.9610699821515,3790.8847017840562,562.8538869607675,202.60433273822238,1176.7279835744134,371.32693924911945,16022.615911159846,16416.462693465157,15896.303078590554,16333.423756268438,16454.467308956384,16142.797335518508,31469.108571044424,15806.300489894065,16396.79078376319,16318.352451650964,21828.550321851588,5382.651906167573,346.85971880786946,21805.240299181936,5381.304668540854,347.85971880786946,21416.496532589223,5239.344953713674,668.4376575490119,12027.426439070086,7748.66905885525,452.48929537296823,315.38989427708134,387.99872144357494,259.5207859050303,3579.810916537679,636.2256884404916,440.90194477914974,217.3508516089158,187.68840975645588,112.99070886237487,82.18619326092833,49.308664826396665,238.2028036179949,68.46418252960186,97.93814296493895,68.19985411729401,55.414605321627974,78.15018161975337,21154.204083492583,4768.7934647125885,963.3621267918379,20957.99184393836,4874.535968751612,864.359022763775
14,015,53500.15539000406,40113.1929895958,6873.469427980352,4981.991507148754,39671.91173962628,31017.795134051743,4819.888165654574,2965.9829533417947,5082.122511352968,664.9707853326006,15300.011476992273,4440.470474173299,1105.6305954517882,14481.487354316425,4281.818219623238,15237.25105482562,5498.214243003184,5118.76609378046,5137.986539946796,5231.165419930502,5423.3650958012895,5465.889869445957,10479.227876311328,5392.56182904649,5148.586462918823,5353.224578184163,630.2417300104565,225.57743744405136,1269.687127191716,449.44856326761874,14346.330897810602,14751.838000208667,14158.268440426382,14590.58816947042,14589.926065759291,14515.843056595097,28026.14363397417,14056.864643654651,14657.417422365259,14541.250939377673,19346.765394499736,7566.802657288435,373.8690321475795,19344.93131885014,7565.958518778762,373.8690321475795,19022.425091966004,7282.603838202168,752.4954478770892,10945.002627655467,6585.00260557867,411.1178058395704,327.9759706742082,295.5083882488276,219.96758407833644,4745.271375954255,975.3751444817315,666.4899781996737,368.12081967826066,302.1125397220391,162.42878800685048,105.53753966088416,41.4564672819377,256.2438829671865,96.99267305162395,111.17433081292558,78.56591721701805,59.79160683340654,82.5694980304374,18839.058110929647,6712.129557627413,1123.4355496943067,18573.830020198668,6876.561916050314,976.5738494314176
