,DISTRICT,tot,NHwhite,NHblack,hispanic,totVAP,WVAP,BVAP,HVAP,G16PREDCli,G16PRELJoh,G16PRERTru,G16USSDBar,G16USSLBuc,G16USSRIsa,G16PSCLHos,G16PSCREch,G18DATG,G18DCmAg,G18DCmIns,G18DCmLab,G18DGOV,G18DLTG,G18DPbSrv,G18DSOS,G18DSchSpr,G18DStSen,G18LCmIns,G18LGOV,G18LPbSrv,G18LSOS,G18RATG,G18RCmAg,G18RCmIns,G18RCmLab,G18RGOV,G18RLTG,G18RPbSrv,G18RSOS,G18RSchSpr,G18RStSen,G20PRERTRU,G20PREDBID,G20PRELJOR,C20PRERTRU,C20PREDBID,C20PRELJOR,G20USSRPER,G20USSDOSS,G20USSLHAZ,S20USSRLOE,S20USSRCOL,S20USSRGRA,S20USSRJAC,S20USSRTAY,S20USSRJOH,S20USSDWAR,S20USSDJAC,S20USSDLIE,S20USSDJOH,S20USSDJAM,S20USSDSLA,S20USSDWIN,S20USSDTAR,S20USSLSLO,S20USSGFOR,S20USSIBUC,S20USSIBAR,S20USSISTO,S20USSIGRE,G20PSCRSHA,G20PSCDBRY,G20PSCLMEL,G20PSCRMCD,G20PSCDBLA,G20PSCLWIL
0,001,171415.98147524352,114988.53853433892,37054.43804246465,10257.753761348773,127667.37209389838,89854.18522690634,25800.171481056434,6356.592894395848,27739.4193992076,2376.7231721559247,44017.16167948449,22649.660130991797,2660.305845093766,45541.91011318368,16335.141379035162,50012.043361171556,28045.33074125476,26611.45871828096,26508.831003108404,26983.112594999784,28447.396102562376,27427.564521392233,53752.64616081875,30453.12915250009,26858.61953648406,27373.157749671336,1803.3027206769027,743.1076554960833,3632.6544220013134,1518.8082668494371,41167.611946197314,42164.93554607716,40963.793632721616,42033.72161351821,41308.28904096351,40470.697762205986,80817.16947037472,37777.92188866276,42398.42828013745,42239.88616064509,53655.92138400975,40101.38618631278,1413.1223060178759,53649.92137919693,40100.386191125595,1413.1223060178759,53393.21624492581,38663.59486603614,2125.8705453238035,30309.245214959024,18930.413610110056,1117.374023396571,1015.9568275857162,886.9568420241752,831.1654784321597,25995.59865387536,5031.427921865156,2595.557617182335,1708.0178410228839,1426.226559248803,688.4783391941535,365.37412446578367,392.37414371706234,776.7482248674692,289.6870622328919,386.6869996662364,279.26981348102083,243.68703335597394,283.374134091423,53619.964556424035,35660.706109102335,3506.2015406906808,53040.15508710406,35933.2276014595,2979.784368943924
1,002,172049.6001555201,63084.351764984836,91912.3742930451,9857.312382150452,132528.63581666144,54492.91889500068,65898.97013753353,6978.950715792569,45842.580600792404,1978.2768278440753,17037.83832051551,38867.33986900821,2503.694154906234,19818.08988681632,25814.858620964842,26918.956638828444,42887.25556928698,41736.11428663169,41579.745020130475,42395.45982367455,44257.19687334584,41540.003910475185,84227.50605223943,43870.45538021666,42573.965903001605,49395.83236210388,1626.7200853914399,567.8984205114609,3093.3889963396723,1519.2157212684633,15580.594786555168,16285.282514503017,15235.404610377096,15951.496476996857,15025.910060916982,15045.50099395291,29614.22103717416,13586.265469273147,16017.779373428724,58.57192795767736,20006.078615990245,54676.61381368723,1118.8776939821244,20003.078620803066,54673.61380887441,1118.8776939821244,19696.783755074186,53228.40513396387,1895.1294546761965,11043.754785040972,6567.586389889945,517.6259766034291,582.043172414284,389.043157975825,373.83452156784034,38459.40134612465,6657.572078134845,2344.442382817665,2486.9821589771163,1754.7734407511973,915.5216608058466,404.6258755342164,273.62585628293783,568.2517751325311,321.3129377671082,284.3130003337637,275.7301865189792,211.31296664402612,188.62586590857708,19951.035443575965,50977.29389089767,2975.79845930932,19521.844912895944,51089.77239854052,2458.2156310560767
2,003,171952.067112449,118711.0699809472,39185.99750080308,8533.999993287574,129192.0442793735,92672.04645503688,27808.998109623168,5462.999995767397,21530.9827738518,1711.5672249089002,44577.08236636825,17821.775714771044,2702.7620845001566,42046.73225385752,13052.970574362302,46247.08596224557,20432.344946781715,19806.48193175044,19767.69545537038,19965.83562608803,20731.628550221943,19734.481943031613,39777.46746017148,20659.77199463155,19703.561722341336,19935.569898248446,1470.2199631524854,545.070086116721,2995.8540483581037,1211.1498831291783,41298.67797634276,41560.461196667624,40448.107515911164,41579.11396541188,41741.028441722,40556.951132603026,80541.43424923441,40172.09780216233,41992.59814383314,42057.585217170126,53852.1276961656,28146.84975481539,1117.423804321651,53853.1276961656,28152.84975481539,1117.423804321651,53287.544327656455,26492.50573258748,2201.704188056053,23597.16814887583,21769.27366792987,2081.7911429805895,1438.704188056053,1467.984571790455,1789.9974866706473,12324.070811324296,5883.007172830792,2693.4238043216506,1703.3537083880506,1472.1466493072971,920.0700959336004,393.0,360.0700959336005,711.3569371080986,276.0,533.3504796680025,392.2135165208495,270.0733246536486,327.14019186720094,52192.333324464955,25196.84652609534,3109.647007002645,51468.76932827611,25340.13588059919,2710.0643538841996
3,004,173075.18352596433,118309.15015079694,41255.00945395406,8958.024020670435,131149.13688267645,92265.11609530544,30239.009511232212,5691.011262939657,18884.13020748506,1804.470160103469,43642.819763974025,15582.14594058579,2275.696228726608,43269.533188335074,11777.627254277051,45921.163367679575,17929.23830816184,16769.409300590614,16993.435246205634,17338.874461220545,18174.825495291243,17181.6368979144,34519.3069307555,21712.4426791667,17112.434794686727,0.000179584106448,1292.5545821505352,535.2250017675573,2819.2030255714135,961.5309118041284,42712.649566840286,43721.62146602874,42436.26017747246,43298.92798920541,43414.11685741106,42077.601655577244,83883.48277789133,38679.16506531622,43704.37364006958,51946.99644811499,54636.96895716967,24640.024790923562,1073.24409148033,54642.96895716967,24645.472779482072,1073.24409148033,53788.40078180229,23871.596684153537,1849.8002516095823,27988.672341080728,21036.50340380698,1342.4581448653419,914.8081181599445,1051.8122668477095,952.4341143890872,14935.1316355912,3712.296335548198,1571.7581982761367,1176.6541753931626,1057.8881105666637,503.3120686489222,275.21405338501177,244.65603432446102,647.2380838612664,218.65603432446107,431.22606862313904,256.7900953027534,162.66804956258835,209.6560343244611,53537.23854165998,21858.366466842635,2702.4743087912343,52942.142385327366,22106.56850498952,2272.136350734759
4,005,172278.25187978527,33375.40235668945,47208.834627522665,71100.15459521492,119791.65767598146,27734.95561554451,31995.778926443996,45301.016046830155,31896.68956457065,1521.1617689928928,11092.733876056012,27508.528101975535,2048.398737591308,12020.033737542077,20792.28481622024,16036.913607516955,31305.874563386336,30531.04864651046,30449.722588075303,30915.557671758903,32066.56792859107,30241.901876077736,61239.00686148002,30925.429958991168,30678.343794297085,34195.071849085696,1345.5055242872263,458.24490007803047,2501.3900393489844,1186.639829322183,10965.12632764196,11515.67675382984,10465.587260493747,11331.946025843059,10540.49086122128,10578.434531600413,20863.813218321015,10420.724743432902,11705.695137055423,1845.889372125599,15050.997451120475,40914.330381090556,686.0760321911634,15041.30548134482,40920.76340034594,685.0766412505075,14548.206395744754,39868.79088648059,1664.5059465583986,6614.557488412452,5012.338401509304,726.4055368557941,615.7667639954833,296.96079720123873,523.4771846184528,21682.38477262755,7536.923509285433,2592.081428366655,3439.954549728746,2162.7728251692643,1021.9825561716344,676.0021504437931,297.4817803393527,406.5115799784452,247.32653607881986,235.62355473130373,263.2283568145668,192.12636749088807,214.70779111599694,14040.720298660888,38399.13671417225,2617.116459107557,13881.315399191628,38676.80113836596,1996.808066265804
5,006,173740.23358873342,97503.22629707197,38688.227096100985,24756.891544172937,137193.3988482271,81437.76475598311,29845.3225521464,16162.670666991267,45399.42010860547,3946.7302136747576,32640.305066491597,35357.707008708836,3937.8921810243123,41481.95868565793,26524.227801432447,46835.610035957274,45339.530962521145,42743.647849879664,43452.8405231423,43350.63008524645,47759.030120305266,45563.85071313256,87636.90836019863,45466.781178093996,42576.47061085726,46284.983260112516,2663.8485841212078,1081.7950639976507,5191.5401611773295,2563.6879169076055,34197.03413573494,36001.511218738364,32895.63927308414,35222.92686962017,31945.847508952178,33118.142537189364,65050.58564472611,31764.1048045328,36281.860092305855,32978.77027312024,37500.925347359684,64248.568200046255,1481.3281737845864,37570.83341392329,64234.777125489556,1481.2896282118836,40909.41469103229,59422.857955812506,2239.818426679832,24087.31304898492,13556.860869629932,574.190691043709,760.6286891841355,436.30825820985945,372.5685780764739,41298.875115285155,7306.932027325571,4145.758296892896,2261.51695000965,2346.6437890112757,1164.2098998985346,548.4767224034964,503.60977243315955,792.3826189324878,362.2910964983751,440.911882910843,255.9705464226985,309.09301570742764,250.84293635901037,41438.21135820632,55252.16212822771,4263.07593204747,41152.051900069026,55850.84835924721,3409.4311645102857
6,007,171776.73022510821,119056.38067669698,37645.02503884852,11701.332054014032,128024.79389833933,92251.53781144459,26924.03354233296,6909.222228120186,14195.0172261482,939.4327750911,44861.91763363175,11933.224285228953,1665.2379154998437,41605.267746142476,8677.0294256377,44126.91403775443,12661.842345674044,12136.662395204568,12249.46299572261,12340.3478528324,12694.66788793141,11690.618910409641,24624.92720768344,13417.429240506788,11998.61052589748,10.430066369174126,764.8272970861951,250.93770078522587,1667.1811453086473,513.8675700310959,41713.5183001407,42212.76645227614,41470.0730857377,42129.084588295096,42904.131250252576,40963.22346562272,82644.92624668159,40827.077454992956,42732.627600169624,46784.07047345822,52125.87230383442,16520.15024518461,524.576195678349,52162.87230383442,16479.15024518461,527.5761956783491,51414.45567234355,15602.494267412516,1224.295811943947,21182.83185112417,24341.726332070135,1260.2088570194107,704.2958119439471,1950.0154282095452,928.0025133293528,8348.929188675704,3088.992827169209,1184.5761956783488,1135.6462916119492,985.8533506927029,369.9299040663995,285.99999999999994,170.92990406639953,287.6430628919014,138.0,269.64952033199756,222.78648347915043,101.92667534635142,211.85980813279906,50453.66667553505,14893.153473904658,1507.3529929973552,49320.2306717239,14949.864119400807,1396.9356461158004
7,008,171385.51468514607,100963.71799896921,55942.89135301149,9198.229007744021,128254.65377083697,79221.94142289413,39797.92559463045,5852.004716787043,21928.0,1305.0,36497.99999999999,18737.000000000004,2050.0,34649.0,13083.000000000002,39095.0,20618.599315998843,19844.553209114856,20161.589515125495,20324.56295827047,21163.63936936467,19668.58789432843,40422.144353048745,20725.62816023714,20143.570340097933,0.0,1031.0147187623365,324.0148729487555,2141.0535366795293,892.017350375966,34562.96385024211,35307.98679180655,34002.94355270139,34840.99667090689,34875.92916779715,33886.93822132288,67821.92081673178,33726.9162400947,35169.99002901377,40846.18380475435,43250.99999999999,28046.0,781.0,43260.99999999999,28043.0,783.0,43066.99999999999,26512.999999999996,1541.9999999999998,21168.999999999996,16917.0,1336.0,894.0,1210.9999999999998,763.0,11128.0,6799.0,2176.0,2049.0,1972.0,890.0,395.0,607.0,470.0,214.00000000000003,350.0,266.0,167.0,241.00000000000003,43616.99999999999,24926.0,1945.0,41855.99999999999,25759.0,1746.0
8,009,173882.85794402775,103869.06340525154,33783.28942898167,18209.000578059637,125263.66280035448,79745.39382518006,22104.849508230884,11605.173882276878,37027.34948878819,3346.872002553142,45394.654503381505,31230.515497632736,4102.005740973832,47124.63514510639,24661.45934774815,52091.61101726326,40175.50440330014,38645.02031627187,38748.1940228661,39048.12668772891,40959.53708802149,39291.81646582871,78055.63415409318,39714.184099114354,38561.685766439325,39278.36183870514,2662.1584267823837,1037.515127232286,5012.6258623424865,2244.71631748828,41285.41375594411,42445.24363119711,40045.466523801755,42200.23538816267,40714.81902396382,40506.247475214004,79705.2833438914,39908.9681833025,42977.89183833453,42056.35166258384,47336.828075287114,57333.62758373187,1446.7058981908779,47311.21455175941,57379.22204781363,1446.7068154429865,47518.12335193156,55357.29683217315,2728.434515089976,25988.436742110884,16457.56797086592,1363.894995984145,1059.1537814558887,628.2908121985067,917.7827234502548,35193.28016047967,8075.7190040035875,3694.2313991964024,3535.717978823253,2102.3269270614364,1068.0001792142505,669.6550736588975,428.76825462796864,840.7241347930252,384.05666158837624,364.2835856370005,340.073798167136,287.24759915095296,279.6485885676683,47387.04797100453,52379.14904920162,4263.053003207324,47028.1649134415,52872.13368076122,3621.2165862909364
9,010,172380.07863283658,39457.03176882008,117497.64764780381,7142.101564389209,125299.00704222667,31540.701616667793,83947.85393926366,4386.918703473304,65532.0,1460.9999999999998,16054.0,58720.0,2227.0,17765.0,42948.0,25819.0,66713.71355115059,65706.15595130656,65923.53843507494,66327.34792805581,68580.13359395401,64767.99013629971,132223.54323475476,66351.91908576059,66369.63024583325,71299.97370174265,1624.6420937875844,376.84320839271254,2953.3007451779936,1523.821575253694,14484.67278129613,15165.341165665826,13813.013538485264,14853.814050447398,13791.926846116887,13913.237453173972,27521.184536598466,13712.158468028327,15095.492383495584,3.647693819595657,16798.12885839675,80066.47097075339,776.8494231417358,16856.128854403592,80172.39871312701,793.8494231417358,16355.655433380392,78462.94296405886,1822.0163142918063,8891.115536182435,5629.941092488655,415.96008996188175,424.7581453303851,271.9456694273033,274.09231126312324,57966.058665885284,10225.270512954765,2390.061853822945,3129.232334238871,3087.8661740861103,1399.4233124447378,784.5915138879816,395.0819993500263,305.99977455622377,191.11844647171742,255.84612142535073,240.960962518457,376.95808918878026,217.92474775292482,16184.844606353772,77184.6407437427,2791.9721462021357,15886.854392320562,77388.73336430652,2146.3346621434607
