,DISTRICT,tot,NHwhite,NHblack,hispanic,totVAP,WVAP,BVAP,HVAP,G16PREDCli,G16PRELJoh,G16PRERTru,G16USSDBar,G16USSLBuc,G16USSRIsa,G16PSCLHos,G16PSCREch,G18DATG,G18DCmAg,G18DCmIns,G18DCmLab,G18DGOV,G18DLTG,G18DPbSrv,G18DSOS,G18DSchSpr,G18DStSen,G18LCmIns,G18LGOV,G18LPbSrv,G18LSOS,G18RATG,G18RCmAg,G18RCmIns,G18RCmLab,G18RGOV,G18RLTG,G18RPbSrv,G18RSOS,G18RSchSpr,G18RStSen,G20PRERTRU,G20PREDBID,G20PRELJOR,C20PRERTRU,C20PREDBID,C20PRELJOR,G20USSRPER,G20USSDOSS,G20USSLHAZ,S20USSRLOE,S20USSRCOL,S20USSRGRA,S20USSRJAC,S20USSRTAY,S20USSRJOH,S20USSDWAR,S20USSDJAC,S20USSDLIE,S20USSDJOH,S20USSDJAM,S20USSDSLA,S20USSDWIN,S20USSDTAR,S20USSLSLO,S20USSGFOR,S20USSIBUC,S20USSIBAR,S20USSISTO,S20USSIGRE,G20PSCRSHA,G20PSCDBRY,G20PSCLMEL,G20PSCRMCD,G20PSCDBLA,G20PSCLWIL
0,001,171415.98147524352,114988.53853433892,37054.43804246465,10257.753761348773,127667.37209389838,89854.18522690634,25800.171481056434,6356.592894395848,27739.4193992076,2376.7231721559247,44017.16167948449,22649.660130991797,2660.305845093766,45541.91011318368,16335.141379035162,50012.043361171556,28045.33074125476,26611.45871828096,26508.831003108404,26983.112594999788,28447.39610256238,27427.564521392236,53752.64616081875,30453.129152500092,26858.619536484064,27373.157749671336,1803.3027206769027,743.1076554960833,3632.6544220013134,1518.8082668494371,41167.611946197314,42164.93554607717,40963.79363272162,42033.72161351821,41308.289040963515,40470.69776220599,80817.16947037473,37777.92188866277,42398.42828013746,42239.886160645096,53655.92138400975,40101.38618631278,1413.1223060178759,53649.92137919693,40100.386191125595,1413.1223060178759,53393.21624492581,38663.59486603614,2125.8705453238035,30309.245214959024,18930.413610110056,1117.374023396571,1015.9568275857162,886.9568420241752,831.1654784321597,25995.59865387536,5031.427921865156,2595.557617182335,1708.0178410228839,1426.226559248803,688.4783391941535,365.37412446578367,392.37414371706234,776.7482248674692,289.6870622328919,386.6869996662364,279.26981348102083,243.68703335597394,283.374134091423,53619.964556424035,35660.706109102335,3506.2015406906808,53040.15508710406,35933.2276014595,2979.784368943924
1,002,172049.6001555201,63084.351764984836,91912.3742930451,9857.312382150452,132528.63581666144,54492.91889500068,65898.97013753353,6978.950715792569,45842.5806007924,1978.2768278440753,17037.83832051551,38867.33986900821,2503.694154906234,19818.08988681632,25814.858620964842,26918.95663882844,42887.25556928698,41736.11428663169,41579.745020130475,42395.45982367455,44257.19687334584,41540.003910475185,84227.50605223943,43870.45538021666,42573.965903001605,49395.83236210388,1626.7200853914399,567.8984205114609,3093.3889963396723,1519.215721268463,15580.594786555168,16285.282514503017,15235.404610377096,15951.496476996857,15025.910060916982,15045.50099395291,29614.221037174157,13586.265469273147,16017.779373428724,58.57192795767736,20006.07861599024,54676.613813687225,1118.8776939821241,20003.078620803062,54673.613808874405,1118.8776939821241,19696.783755074186,53228.40513396387,1895.129454676196,11043.75478504097,6567.586389889944,517.6259766034291,582.043172414284,389.04315797582495,373.83452156784034,38459.40134612465,6657.572078134844,2344.442382817665,2486.982158977116,1754.7734407511973,915.5216608058465,404.62587553421633,273.6258562829378,568.2517751325308,321.3129377671082,284.3130003337636,275.73018651897917,211.31296664402606,188.62586590857705,19951.035443575962,50977.293890897665,2975.7984593093197,19521.844912895944,51089.77239854051,2458.2156310560763
2,003,171952.067112449,118711.0699809472,39185.99750080308,8533.999993287574,129192.0442793735,92672.04645503688,27808.998109623168,5462.999995767397,21530.9827738518,1711.5672249089002,44577.08236636825,17821.775714771044,2702.7620845001566,42046.73225385752,13052.970574362302,46247.08596224557,20432.344946781715,19806.48193175044,19767.69545537038,19965.83562608803,20731.628550221943,19734.481943031613,39777.46746017148,20659.77199463155,19703.561722341336,19935.569898248446,1470.2199631524854,545.070086116721,2995.8540483581037,1211.1498831291783,41298.67797634276,41560.461196667624,40448.107515911164,41579.11396541188,41741.028441722,40556.951132603026,80541.43424923441,40172.09780216233,41992.59814383314,42057.585217170126,53852.1276961656,28146.84975481539,1117.423804321651,53853.1276961656,28152.84975481539,1117.423804321651,53287.544327656455,26492.50573258748,2201.704188056053,23597.16814887583,21769.27366792987,2081.7911429805895,1438.704188056053,1467.984571790455,1789.9974866706473,12324.070811324296,5883.007172830792,2693.4238043216506,1703.3537083880506,1472.1466493072971,920.0700959336004,393.0,360.0700959336005,711.3569371080986,276.0,533.3504796680025,392.2135165208495,270.0733246536486,327.14019186720094,52192.333324464955,25196.84652609534,3109.647007002645,51468.76932827611,25340.13588059919,2710.0643538841996
3,006,173740.23358873342,97503.22629707197,38688.227096100985,24756.891544172937,137193.3988482271,81437.76475598311,29845.3225521464,16162.670666991267,45399.42010860547,3946.7302136747576,32640.305066491597,35357.707008708836,3937.8921810243123,41481.95868565793,26524.227801432447,46835.610035957274,45339.530962521145,42743.647849879664,43452.8405231423,43350.63008524644,47759.03012030526,45563.85071313256,87636.90836019862,45466.78117809399,42576.47061085725,46284.98326011251,2663.8485841212078,1081.7950639976507,5191.540161177329,2563.6879169076046,34197.03413573494,36001.51121873836,32895.63927308414,35222.92686962016,31945.847508952174,33118.14253718936,65050.5856447261,31764.1048045328,36281.860092305855,32978.77027312024,37500.925347359684,64248.568200046255,1481.3281737845864,37570.83341392329,64234.777125489556,1481.2896282118836,40909.41469103229,59422.857955812506,2239.818426679832,24087.31304898492,13556.860869629932,574.190691043709,760.6286891841355,436.30825820985945,372.5685780764739,41298.87511528515,7306.932027325571,4145.758296892896,2261.51695000965,2346.6437890112757,1164.2098998985346,548.4767224034964,503.60977243315955,792.3826189324878,362.2910964983751,440.911882910843,255.9705464226985,309.09301570742764,250.84293635901037,41438.21135820632,55252.16212822771,4263.07593204747,41152.051900069026,55850.84835924721,3409.4311645102857
4,009,173882.85794402775,103869.06340525154,33783.28942898167,18209.000578059637,125263.66280035448,79745.39382518006,22104.849508230884,11605.173882276878,37027.34948878819,3346.872002553142,45394.654503381505,31230.515497632736,4102.005740973832,47124.63514510639,24661.45934774815,52091.61101726326,40175.50440330014,38645.02031627187,38748.19402286609,39048.12668772891,40959.53708802149,39291.816465828706,78055.63415409318,39714.18409911437,38561.685766439325,39278.36183870514,2662.1584267823837,1037.515127232286,5012.625862342486,2244.7163174882794,41285.4137559441,42445.24363119711,40045.466523801755,42200.23538816267,40714.81902396382,40506.247475214,79705.28334389141,39908.96818330251,42977.89183833453,42056.351662583846,47336.82807528711,57333.62758373187,1446.7058981908779,47311.2145517594,57379.22204781363,1446.7068154429865,47518.12335193156,55357.296832173146,2728.434515089976,25988.43674211089,16457.56797086592,1363.8949959841452,1059.1537814558887,628.2908121985067,917.7827234502548,35193.28016047967,8075.719004003588,3694.2313991964024,3535.717978823253,2102.3269270614364,1068.0001792142505,669.6550736588975,428.76825462796864,840.7241347930252,384.05666158837624,364.2835856370005,340.07379816713603,287.24759915095285,279.6485885676682,47387.04797100453,52379.14904920162,4263.053003207324,47028.1649134415,52872.13368076122,3621.216586290937
5,014,173199.66534623617,132662.53125465175,15088.55125698076,18980.957721444287,126597.92371428774,100614.3832779767,10387.260114474218,11709.963396059033,18941.667924013163,3206.969726548913,53063.004749581036,16196.301257797215,4331.573513471751,51710.90184960815,16033.799256294707,53825.93056857956,20842.962737884172,19536.170957193208,19254.941385052312,19750.99668804336,20671.669566039996,20444.642706034505,39378.41090697153,20241.97970278003,19341.541722481867,20443.80008984487,2564.477223259725,1013.6309881894414,5112.8112442987485,2016.2118070102126,49490.001223652165,50559.810826668705,48649.060026069696,50333.77339687364,49908.87569695712,49419.07055347691,96053.91882376302,48375.473468096614,50871.63235624825,49926.727363598686,65928.87170305576,30108.123367316093,1648.813666281499,65924.79884780684,30107.982321291543,1648.816071260535,65083.034243223934,28732.232711796467,2921.947781644267,37339.1189903732,22769.1281469224,1314.5465050412574,1167.3597048998754,985.37603532991,815.5537457897719,19078.81249720821,3901.646474335182,2420.8355550549395,1217.5621940867948,1048.6897054722615,616.5497131468472,352.1371505532543,230.11901185333423,1140.6457181668109,344.87953492915705,404.0959405783636,283.3244180381809,241.86922971558596,293.59231337458647,64554.8501589788,26415.047277277365,4462.5609151132185,63934.80217229133,26869.337034454147,3929.9400850257302
6,015,173281.26809139235,61299.66205777108,94959.3871401429,10633.039530895987,128462.8828011116,49110.46642750997,68493.27689489073,6935.034356623988,36142.46939562009,1021.6788642351967,15913.187982419866,30431.226946121642,1452.5549561606538,16881.83540638645,22083.935614566773,20824.699338415412,33009.73472995337,32175.75196688237,32294.426533758095,32527.70944141033,34017.57318683298,30956.012294261865,65099.55407209815,33018.54079732422,32557.555153137226,39356.40552322139,890.9489576884582,275.53794054941153,1681.253518042856,780.1940766958543,14682.149179599584,15183.766578240231,14378.220592011161,15162.702576186362,14752.262632743681,14334.092851220628,28663.10678610083,14047.010934472368,15230.632400317523,819.4812728239897,18531.846644280722,41254.09534393673,585.9320583011709,18526.23580607957,41160.60649941386,581.7768643776642,18554.570041523482,39664.04173197981,1259.0516975606506,8899.38957747979,7905.664997839664,411.0785072639976,357.3370020508185,306.02243817712633,323.63907415963627,27635.00141483388,5588.778968066716,1654.8351023065622,1683.720108738488,1647.7228929445262,676.6158010458703,510.11358559033255,567.951504064433,282.44152039668563,136.4799968510398,216.39251325029494,199.9310711912917,159.66037728118553,140.9911523281629,18060.376214845302,38487.717722442816,1867.7143251074456,17750.11000932289,38650.30405968625,1426.3439494767026
7,018,172981.31056434326,113281.43818531015,48041.89860827644,6125.969610379921,132566.48944720248,89586.55388741949,35484.939057451265,3905.9903367756697,26862.536863379624,1719.8819792924246,46018.15645814997,22937.107910563227,2218.1897625398815,45801.53417948147,16130.148860732956,49707.710115537164,27223.545427830726,25674.73992227207,25916.537288024032,26131.260510009728,27259.809283387738,26071.21722912939,52924.876298667135,27756.7537310309,25888.533105863953,212.35305942206816,1364.457307020455,522.4108295862571,2681.9674277776967,1087.9524161043166,44531.29181219083,45807.54877739425,44569.97678542367,45485.9342374882,45471.05238172845,43939.202020985955,87843.72712345784,43307.91393300813,45891.177128883704,55766.87280487262,54048.57002916341,34320.40267817233,919.1056497896882,54032.402250490886,34324.90661292233,922.1056497896882,53657.464631085066,33073.89216934014,1711.4009967186767,28874.82102805813,21370.51759975391,902.711145579216,635.730744571771,610.9325289767153,716.2315809156615,24307.006639494524,3800.672643597533,1571.5663672323772,1166.7753912994374,1366.48208242162,505.51527290922616,459.5229035344438,266.81284620677553,510.2921877750831,177.60766325475245,262.81165788106574,222.48307578244706,145.1714104507578,182.51252518007294,53309.42831405001,31258.110717127336,2561.713111332122,52611.42324026348,31512.794446771266,2166.343951498708
8,020,173861.39650655695,109797.79845295617,49812.25230492033,7596.261698319399,128980.13412709943,84986.84451730456,35104.1215189056,4759.175183243495,24740.86927993067,1883.5676488561696,47496.14632404391,20771.736888695625,2255.4541328377218,47329.38339199693,14932.26896045845,50958.86853446163,25673.178940297872,24371.979145421723,24643.064929807606,24783.662172955963,25853.15527810527,24769.16689042399,49949.300431299314,26548.759278246172,24671.874281211818,273.58955776031326,1416.060465473613,598.2039164821384,2854.8160520073566,1174.6177907106367,46440.06322067127,47625.78217554653,46120.802637751265,47275.750056411336,47201.90279371486,45677.671083412715,91458.17382367628,44784.19742352304,47612.75950145808,57291.21832418891,55909.88659671769,33944.77450959856,1101.5080614889796,55925.79050852438,33964.21171061927,1102.5080614889796,55707.70022169252,32476.19150904756,1933.5296114098837,28645.641110970886,23119.395349890176,1023.1539075401879,798.0984232102026,782.1191256098394,647.816208838848,22992.8238314997,4585.3823803081505,1541.863854398951,1204.0339043039849,1428.249819042325,506.39886394014576,423.4692650593516,286.68246780372306,568.2043662313001,199.74307113414687,249.81486906559866,235.31279449120296,156.08750240511725,187.5573832904723,55226.6094306131,31043.0128821089,2651.1923695580494,54672.5846312832,31442.49116879126,2193.737934803196
9,021,174507.9871118114,139023.45884550863,10912.413907295751,11741.833832460126,125212.94269744902,101927.40958702007,7503.035147005471,7457.033089603686,24816.85494225463,4133.557372186386,62475.62874517492,19470.61022237106,4896.899803598436,64410.16968967127,18304.35830945577,67282.81583144162,26304.870117960414,24667.316074403152,24684.194621583807,24772.044645728085,26983.423161866373,26026.581987406364,49832.33307181217,25913.69954611398,24122.24870806163,25642.75224097689,3062.0563126492016,1305.9175775936112,6171.356680102176,2561.7990484946276,60496.41542680574,61576.24407114774,58960.891586852595,61418.194670668185,59838.38305002282,59913.30940356903,116842.31367570833,58785.51698399547,62465.11639788906,61000.655086313374,75967.9235754125,40465.928636871395,1797.1802431764297,75908.56100600817,40240.58473002362,1791.1768852307175,76878.15812711469,37417.72000457181,3039.0973865477326,44402.63128720625,26801.677853976602,1257.3916592281528,1342.2733463338088,919.9561996072285,851.2256375295844,25553.22962501013,4776.457968948597,3360.3696143825136,1303.1594493765583,979.1837914553655,727.0610890377712,460.3040679786157,342.7287089221631,1223.1124595839588,397.61277174293593,507.86359131833797,343.74457847278836,298.658644005736,314.04617786593127,76447.25834910487,33762.16535323249,5061.454818314529,75718.04691639669,34178.11602343727,4625.591905891785
